in.county,hdd,cdd,switchover_lt15,switchover_lt20,switchover_lt25,switchover_lt30,switchover_lt35,switchover_lt40
G1800930,5487.3725,1126.145,745.745,1195.8625,1930.59,2433.45,2997.6,3635.7575
G1800950,5776.495,1195.9825,614.6925,1106.9575,1718.405,2491.595,3298.58,4177.455
G1800970,5995.7725,1212.2875,1087.3025,1640.14,2393.7675,2866.4025,3683.805,4552.6375
G1800990,6087.6425,1067.96,596.2225,1119.235,1739.955,2483.4025,3637.4475,4515.3175
G1801010,4330.8675,1541.64,10.6325,104.2925,340.415,881.89,1701.1775,2536.655
G1801030,6198.455,1019,764.2025,1373.0275,2022.295,2717.7575,3466.4325,4352.1825
G1801050,5487.3725,1126.145,745.745,1195.8625,1930.59,2433.45,2997.6,3635.7575
G1801070,6058.465,1123.9375,1261.3925,1938.725,2639.23,3213.91,3828.2,4473.4
G1801090,5995.7725,1212.2875,1087.3025,1640.14,2393.7675,2866.4025,3683.805,4552.6375
G1801110,6058.465,1123.9375,1261.3925,1938.725,2639.23,3213.91,3828.2,4473.4
G1801130,6638.2625,965.36,1127.4575,1770.1475,2611.985,3349.96,4411.07,5234.495
G1801150,5403.1975,1128.3925,612.425,1058.49,1563.2775,2060.2125,2858.635,3822.2025
G1801170,4330.8675,1541.64,10.6325,104.2925,340.415,881.89,1701.1775,2536.655
G1801190,5487.3725,1126.145,745.745,1195.8625,1930.59,2433.45,2997.6,3635.7575
G1801210,5311.205,1398.9275,1011.56,1219.7475,1565.7125,2041.66,2737.2875,3634.1875
G1801230,4330.8675,1541.64,10.6325,104.2925,340.415,881.89,1701.1775,2536.655
G1801250,4330.8675,1541.64,10.6325,104.2925,340.415,881.89,1701.1775,2536.655
G1801270,5825.1275,1260.17,1120.5675,1650.07,2188.6175,2634.2075,3239.025,3932.89
G1801290,5195.475,1233.0525,454.5375,791.6175,1242.9675,1888.03,2643.5925,3439.8375
G1801310,6198.455,1019,764.2025,1373.0275,2022.295,2717.7575,3466.4325,4352.1825
G1801330,5311.205,1398.9275,1011.56,1219.7475,1565.7125,2041.66,2737.2875,3634.1875
G1801350,5776.495,1195.9825,614.6925,1106.9575,1718.405,2491.595,3298.58,4177.455
G1801370,5403.1975,1128.3925,612.425,1058.49,1563.2775,2060.2125,2858.635,3822.2025
G1801390,5776.495,1195.9825,614.6925,1106.9575,1718.405,2491.595,3298.58,4177.455
G1801410,6087.6425,1067.96,596.2225,1119.235,1739.955,2483.4025,3637.4475,4515.3175
G1801430,4110.33,1474.08,123.65,294.8,599.9775,1048.545,1682.7275,2288.175
G1801450,5995.7725,1212.2875,1087.3025,1640.14,2393.7675,2866.4025,3683.805,4552.6375
G1801470,4330.8675,1541.64,10.6325,104.2925,340.415,881.89,1701.1775,2536.655
G1801490,6087.6425,1067.96,596.2225,1119.235,1739.955,2483.4025,3637.4475,4515.3175
G1801510,6638.2625,965.36,1127.4575,1770.1475,2611.985,3349.96,4411.07,5234.495
G1801530,5487.3725,1126.145,745.745,1195.8625,1930.59,2433.45,2997.6,3635.7575
G1801550,5403.1975,1128.3925,612.425,1058.49,1563.2775,2060.2125,2858.635,3822.2025
G1801570,6058.465,1123.9375,1261.3925,1938.725,2639.23,3213.91,3828.2,4473.4
G1801590,6198.455,1019,764.2025,1373.0275,2022.295,2717.7575,3466.4325,4352.1825
G1801610,6044.86,1041.3925,870.3625,1464.555,2111.9825,2722.4675,3595.6,4389.1675
G1801630,4655.71,1578.49,344.8925,708.3325,1085.0225,1577.1875,2386.35,3014.6225
G1801650,5311.205,1398.9275,1011.56,1219.7475,1565.7125,2041.66,2737.2875,3634.1875
G1801670,5311.205,1398.9275,1011.56,1219.7475,1565.7125,2041.66,2737.2875,3634.1875
G1801690,6198.455,1019,764.2025,1373.0275,2022.295,2717.7575,3466.4325,4352.1825
G1801710,6058.465,1123.9375,1261.3925,1938.725,2639.23,3213.91,3828.2,4473.4
G1801730,4655.71,1578.49,344.8925,708.3325,1085.0225,1577.1875,2386.35,3014.6225
G1801750,4660.66,1549.0675,218.6575,598.935,987.51,1439.16,2155.3675,3160.1775
G1801770,5776.495,1195.9825,614.6925,1106.9575,1718.405,2491.595,3298.58,4177.455
