in.county	hdd	cdd	switchover_lt05	switchover_lt10	switchover_lt15	switchover_lt20	switchover_lt25	switchover_lt30	switchover_lt35	switchover_lt40
G1300190	2263.475	1437.013333	6.3275	6.3275	8.415	31.5225	96.385	206.6875	423.91	901.7025
G1300210	2635.1775	1415.545	0	0	0	25.4125	91.65	243.2825	602.565	1104.05
G1300230	3215.775	1258.411667	0	0	19.275	125.0025	402.7275	684.785	1189.87	1761.015
G1300250	2322.36	1598.006667	0	0	0	34.425	93.4975	229.7	473.215	890.115
G1300270	1770.96	1740.529167	0	0	0	0	8.825	24.375	187.915	486.84
G1300290	2019.115	1547.8225	0	0	0	1.8775	30.705	116.53	336.4775	682.2
G1300310	2846.285	1366.150833	0	0	0	30.19	215.9775	455.31	778.3625	1270.66
G1300330	2846.285	1366.150833	0	0	0	30.19	215.9775	455.31	778.3625	1270.66
G1300350	3034.18	1153.1775	0	2.335	20.0925	58.8125	238.3425	505.9275	810.32	1365.625
G1300370	1982.8175	1506.4275	0	0	0	0	13.4	76.9	264.3725	642.155
G1300390	1609.215	1598.59	0	0	0	11.415	23.6575	37.495	151.285	397.825
G1300430	2019.115	1547.8225	0	0	0	1.8775	30.705	116.53	336.4775	682.2
G1300450	3116.5925	923.5041667	0	0	6.45	54.955	177.1725	433.9825	883.3525	1501.415
G1300470	3456.8225	1050.758333	0	0	0	61.4975	241.855	532.1525	1038.8425	1783.54
G1300490	1609.215	1598.59	0	0	0	11.415	23.6575	37.495	151.285	397.825
G1300510	2470.08	1473.553333	0	0	0	17.4075	115.7775	314.135	652.495	1067.1225
G1300530	3415.08	1131.253333	0	11.6825	39.5475	135.265	407.4875	832.955	1321.66	1862.285
G1300550	3545.1925	1185.396667	0	0	6.2625	42.925	185.495	543.1475	1128.32	1807.1975
G1300570	3948.99	824.0375	12.815	77.825	171.2475	333.6425	582.415	1051.24	1608.32	2261.6325
G1300590	2948.11	1027.97	0	0	6.375	62.315	181.8875	362.3125	757.435	1305.705
G1300610	2292.945	1557.1275	0	0	2.125	21.9125	56.7625	121.84	351.2525	855.2
G1300630	3034.18	1153.1775	0	2.335	20.0925	58.8125	238.3425	505.9275	810.32	1365.625
G1300650	2263.475	1437.013333	6.3275	6.3275	8.415	31.5225	96.385	206.6875	423.91	901.7025
G1300670	3948.99	824.0375	12.815	77.825	171.2475	333.6425	582.415	1051.24	1608.32	2261.6325
G1300690	1982.8175	1506.4275	0	0	0	0	13.4	76.9	264.3725	642.155
G1300710	2263.475	1437.013333	6.3275	6.3275	8.415	31.5225	96.385	206.6875	423.91	901.7025
G1300730	2846.285	1366.150833	0	0	0	30.19	215.9775	455.31	778.3625	1270.66
G1300750	2263.475	1437.013333	6.3275	6.3275	8.415	31.5225	96.385	206.6875	423.91	901.7025
G1300770	3034.18	1153.1775	0	2.335	20.0925	58.8125	238.3425	505.9275	810.32	1365.625
G1300790	2635.1775	1415.545	0	0	0	25.4125	91.65	243.2825	602.565	1104.05
G1300810	1982.8175	1506.4275	0	0	0	0	13.4	76.9	264.3725	642.155
