in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G4801650	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4801670	0	0	0	0	11.89	87.3975	197.2525	240.5	1055.02
G4801690	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4801710	0	0	0	1.8775	25.7175	34.495	158.165	368.15	1162.645
G4801730	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4801750	0	0	0	0	22.6375	43.5925	85.53	224.7975	1124.5275
G4801770	0	0	0	7.5925	45.915	181.465	303.395	329.8725	1114.61
G4801790	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4801810	0	6.9225	17.1425	75.6525	258.355	255.6625	510.75	441.9875	1347.39
G4801830	0	0	0	0	3.335	111.9775	282.9725	369.72	1636.985
G4801850	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4801870	0	0	0	7.5925	45.915	181.465	303.395	329.8725	1114.61
G4801890	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4801910	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4801930	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4801950	7.74	68.735	122.625	353.0625	567.7	954.3125	989.2575	799.71	1661.54
G4801970	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4801990	0	0	0	0	0	32.7525	97.4925	282.995	1152.3725
G4802010	0	0	0	0	20.82	34.255	142.11	303.3	1185.96
G4802030	0	0	4.25	44.18	93.3525	175.25	335.1325	507.105	1421.0075
G4802050	7.74	68.735	122.625	353.0625	567.7	954.3125	989.2575	799.71	1661.54
G4802070	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4802090	0	0	0	0	8.3375	49.745	99.04	204.9175	1154.3775
G4802110	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4802130	0	0	0	7.51	74.815	181.255	312.1375	499.3075	1480.72
